time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),sunshine_duration (s),precipitation_hours (h)
2010-01-01,73,-1.6,-3.2,2.90,16.3,31.0,0.00,12.0
2010-01-02,71,-1.2,-5.7,1.00,15.8,23.0,2114.82,8.0
2010-01-03,71,-4.9,-8.8,0.00,7.1,16.6,12470.87,0.0
2010-01-04,3,-6.3,-9.5,0.00,13.0,23.8,0.00,0.0
2010-01-05,3,-5.4,-11.7,0.00,11.2,20.5,16419.52,0.0
2010-01-06,3,-4.9,-12.7,0.00,8.6,14.8,0.00,0.0
2010-01-07,71,-5.7,-8.6,0.00,12.0,22.7,510.03,0.0
2010-01-08,71,-3.6,-9.4,0.50,23.2,43.2,3523.93,3.0
2010-01-09,73,-2.9,-3.6,11.40,28.0,52.9,0.00,24.0
2010-01-10,73,-2.9,-5.0,7.00,22.5,43.2,0.00,20.0
2010-01-11,71,-3.8,-8.0,1.10,11.0,23.8,0.00,7.0
2010-01-12,3,-3.7,-7.6,0.00,13.0,22.3,2089.72,0.0
2010-01-13,3,-2.5,-5.2,0.00,18.5,36.7,0.00,0.0
2010-01-14,3,-2.4,-5.3,0.00,16.5,34.9,3799.55,0.0
2010-01-15,3,-3.3,-6.2,0.00,13.7,25.9,12131.00,0.0
2010-01-16,3,-3.5,-5.1,0.00,19.7,37.4,4757.75,0.0
2010-01-17,73,0.8,-4.9,1.80,19.8,38.2,0.00,9.0
2010-01-18,3,0.5,-2.3,0.00,13.2,25.6,0.00,0.0
2010-01-19,71,0.7,-1.4,3.20,10.9,19.8,0.00,19.0
2010-01-20,71,-0.7,-8.2,1.00,15.6,31.3,0.00,6.0
2010-01-21,3,-7.8,-9.3,0.00,11.7,27.0,14464.33,0.0
2010-01-22,3,-7.3,-11.6,0.00,14.1,29.2,21940.57,0.0
2010-01-23,3,-9.4,-16.6,0.00,16.6,30.6,25647.96,0.0
2010-01-24,3,-10.9,-17.3,0.00,19.9,37.8,12161.34,0.0
2010-01-25,3,-9.3,-15.9,0.00,18.9,35.3,25849.33,0.0
2010-01-26,3,-12.8,-20.6,0.00,10.9,21.2,26534.50,0.0
2010-01-27,73,-2.0,-19.7,4.60,29.4,55.1,859.53,11.0
2010-01-28,73,1.5,-1.8,3.10,28.5,55.4,26121.55,11.0
2010-01-29,73,0.8,-2.6,3.60,19.3,37.8,0.00,8.0
2010-01-30,73,0.5,-8.7,1.20,34.8,68.0,6921.60,6.0
2010-01-31,73,-2.6,-10.5,1.20,15.5,28.1,21914.86,4.0
2010-02-01,71,0.2,-5.1,0.00,17.9,32.4,14901.70,0.0
2010-02-02,73,1.1,-5.9,5.50,29.0,53.6,10598.44,11.0
2010-02-03,73,2.0,-1.7,1.30,25.8,50.4,21316.26,3.0
2010-02-04,73,1.2,-3.0,2.30,14.3,26.3,0.00,7.0
2010-02-05,3,1.7,-3.0,0.00,18.5,36.4,27888.85,0.0
2010-02-06,3,1.5,-5.6,0.00,16.9,31.7,24574.04,0.0
